name,institution,attemptsForA,timeForA,attemptsForB,timeForB,attemptsForC,timeForC,attemptsForD,timeForD,attemptsForE,timeForE,attemptsForF,timeForF,attemptsForG,timeForG,attemptsForH,timeForH,attemptsForI,timeForI,attemptsForJ,timeForJ,attemptsForK,timeForK,attemptsForL,timeForL
00_Cyborgs_KYAU,KHWAJA YUNUS ALI UNIVERSITY,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,
0xC00000FD,BANGLADESH OPEN UNIVERSITY,0,,0,,0,,0,,0,,1,,6,162,0,,2,112,2,,0,,0,
998244353,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,4,293,2,146,3,276,0,,0,,3,26,0,,1,7,1,103,0,,0,
ADUST_ByteBusters,ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,
AIUB_Conquered,AMERICAN INTERNATIONAL UNIVERSITY - BANGLADESH,0,,0,,0,,6,,0,,0,,3,31,0,,1,20,0,,0,,0,
AIUB_DIREWOLFS,AMERICAN INTERNATIONAL UNIVERSITY - BANGLADESH,0,,0,,0,,0,,0,,0,,4,98,0,,2,53,2,221,0,,0,
AIUB_Rebellion,AMERICAN INTERNATIONAL UNIVERSITY - BANGLADESH,0,,0,,0,,0,,0,,0,,2,79,0,,1,20,11,282,0,,0,
AUB_Gryffindor,ASIAN UNIVERSITY OF BANGLADESH,0,,0,,0,,0,,0,,0,,6,243,0,,2,127,0,,0,,0,
AUST_HonorRedX,AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,5,,0,,0,,6,,0,,1,40,2,,0,,0,
AUST_Legacy,AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,2,,0,,0,,13,,0,,1,41,2,223,0,,0,
AUST_Outliers,AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,4,,0,,1,35,0,,0,,0,
AUST_QTA,AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,3,,0,,0,,2,67,0,,1,50,5,,0,,0,
AaduBhai 2.0,NOAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,3,,1,,0,,0,,1,29,0,,1,27,1,85,0,,0,
Aiub_BruteForcers,AMERICAN INTERNATIONAL UNIVERSITY - BANGLADESH,0,,0,,0,,0,,0,,0,,9,260,0,,1,153,0,,0,,0,
Alpha Beta,JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,0,,0,,0,,0,,0,,0,,16,,0,,1,52,0,,0,,0,
Alpha_Centauri,RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,2,,0,,0,,3,28,0,,2,47,2,215,0,,0,
ArrayIndexOutOfBoundsException,"JAGANNATH UNIVERSITY, BANGLADESH",0,,0,,0,,0,,0,,0,,2,28,0,,3,57,2,266,0,,0,
BAIUST_Pookies,BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,9,,0,,2,,0,,0,,0,
BAUET_AlphaCentauri,BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,11,228,0,,2,61,0,,0,,0,
BAUET_Team_DDOS,BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,7,,0,,8,,0,,0,,0,
BAUSTian_Inventors,BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,3,140,0,,5,188,0,,0,,0,
BAU_BiE_OutL&ers,BANGLADESH AGRICULTURAL UNIVERSITY,0,,3,,0,,0,,0,,0,,21,293,0,,1,58,1,,0,,0,
BBPI Warriors,BRAHMANBARIA POLYTECHNIC INSTITUTE,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,
BGCTUB_Radium,BGC TRUST UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,5,,0,,1,,0,,0,,0,
BGC_Team_Dim,BGC TRUST UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,8,,0,,1,57,0,,0,,0,
BRACU_Badda Shorbohara Party,BRAC UNIVERSITY,0,,0,,0,,1,,0,,0,,1,57,0,,1,41,2,164,0,,0,
BRACU_BoysBD,BRAC UNIVERSITY,0,,0,,0,,6,,0,,0,,4,124,0,,3,87,1,73,0,,0,
BRACU_BugWhisperers,BRAC UNIVERSITY,0,,0,,0,,4,270,0,,0,,3,29,0,,2,23,4,187,0,,0,
BRACU_CrackPlatoon,BRAC UNIVERSITY,0,,0,,1,,0,,0,,0,,4,91,0,,1,29,2,196,0,,0,
BRACU_Crows,BRAC UNIVERSITY,0,,7,,3,249,2,119,1,279,0,,1,3,0,,1,13,2,98,0,,0,
BRUR_DFS,"BEGUM ROKEYA UNIVERSITY, RANGPUR",0,,0,,0,,0,,0,,0,,4,249,0,,5,201,0,,0,,0,
BRUR_NotStrongEnough,"BEGUM ROKEYA UNIVERSITY, RANGPUR",0,,0,,0,,11,,0,,0,,6,135,0,,1,25,0,,0,,0,
BSFMSTU_LEGION,BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,4,126,0,,1,60,6,,0,,0,
BSMRSTU_Cipherpol_0,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,2,35,0,,5,124,0,,0,,0,
BSMRSTU_Imaginators,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,6,,0,,0,,2,46,0,,1,18,6,,0,,0,
BSMRSTU_Unit_7,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,10,134,0,,1,31,0,,0,,0,
BSMRU_NewHorizon,"BANGABANDHU SHEIKH MUJIBUR RAHMAN UNIVERSITY, KISHOREGANJ",0,,0,,0,,0,,0,,0,,12,,0,,2,98,2,260,0,,0,
BSMRU_Terminators,"BANGABANDHU SHEIKH MUJIBUR RAHMAN UNIVERSITY, KISHOREGANJ",0,,0,,0,,0,,0,,0,,7,,0,,6,,0,,0,,0,
BUBT_AlphaQForces,BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0,,0,,13,,0,,0,,0,,7,83,0,,1,24,1,,0,,0,
BUBT_Black_Pearl,BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,5,259,0,,2,,0,,0,,0,
BUBT_Mudbloods,BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0,,0,,3,,0,,0,,0,,3,59,0,,1,29,0,,0,,0,
BUBT_Retired_Participants,BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,2,13,0,,8,,8,,0,,0,
BUBT_Sunday_Monday_Close,BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,3,,0,,0,,0,,0,,0,,2,36,0,,1,25,2,160,0,,0,
